label,text_len,text_punct,text_cap,raw_text
ham,117,0.06,0.068,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol   
ham,26,0.038,0.038,Lol your always so convincing.   
ham,103,0.058,0.058,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?   
ham,61,0.115,0.033,"I'm back &amp; we're packing the car now, I'll let you know if there's room   "
ham,53,0.075,0.094,Ahhh. Work. I vaguely remember that! What does it feel like? Lol   
ham,105,0.038,0.01,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us   "
ham,148,0.047,0.034,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?    
ham,24,0.042,0.042,K tell me anything about you.   
ham,68,0.015,0.029,For fear of fainting with the of all that housework you just did? Quick have a cuppa   
spam,131,0.015,0.099,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged   
ham,96,0.073,0.042,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am   
ham,39,0.077,0.051,"Oops, I'll let you know when my roommate's done   "
ham,21,0.0,0.095,I see the letter B on my car   
ham,24,0.25,0.083,Anything lor... U decide...   
ham,126,0.056,0.032,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!   
ham,66,0.045,0.061,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola   
ham,109,0.138,0.092,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy   "
spam,140,0.036,0.05,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow   
ham,16,0.062,0.938,WHO ARE YOU SEEING?   
ham,58,0.172,0.052,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...   
ham,30,0.133,0.033,No calls..messages..missed calls   
ham,38,0.053,0.026,Didn't you get hep b immunisation in nigeria.   
ham,27,0.074,0.037,"Fair enough, anything going on?   "
ham,54,0.037,0.037,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit   "
ham,119,0.059,0.059,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.   
ham,47,0.043,0.043,What you thinked about me. First time you saw me in class.   
ham,100,0.11,0.01,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;   "
ham,65,0.015,0.015,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight   
ham,237,0.068,0.03,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""   "
spam,99,0.051,0.242,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV   
ham,63,0.095,0.111,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;   
spam,134,0.09,0.09,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!    "
ham,29,0.103,0.069,"Sorry, I'll call later in meeting.   "
ham,19,0.0,0.053,Tell where you reached   
ham,34,0.088,0.029,Yes..gauti and sehwag out of odi series.   
ham,86,0.058,0.035,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.   
ham,40,0.05,0.05,Ha ha ha good joke. Girls are situation seekers.   
ham,20,0.0,0.15,Its a part of checking IQ   
ham,45,0.044,0.044,"Sorry my roommates took forever, it ok if I come by now?   "
ham,87,0.023,0.023,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.   
spam,126,0.024,0.048,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589   "
ham,102,0.098,0.029,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""   "
spam,140,0.071,0.171,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ   "
spam,66,0.106,0.076,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""   "
ham,27,0.037,0.037,I plane to give on this month end.   
ham,39,0.231,0.077,Wah lucky man... Then can save money... Hee...   
ham,25,0.04,0.04,Finished class where are you.   
ham,36,0.028,0.972,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX   
ham,37,0.162,0.027,K..k:)where are you?how did you performed?   
ham,16,0.188,0.062,U can call me now...   
ham,35,0.057,0.057,I am waiting machan. Call me once you free.   
ham,60,0.033,0.017,Thats cool. i am a gentleman and will treat you with dignity and respect.   
ham,40,0.075,0.025,I like you peoples very much:) but am very shy pa.   
ham,34,0.147,0.029,Does not operate after  &lt;#&gt;  or what   
ham,61,0.066,0.066,Its not the same here. Still looking for a job. How much do Ta's earn there.   
ham,19,0.105,0.105,"Sorry, I'll call later   "
ham,24,0.083,0.083,K. Did you call me just now ah?    
ham,23,0.0,0.043,Ok i am on the way to home hi hi   
ham,28,0.0,0.036,You will be in the place of that man   
ham,12,0.083,0.083,Yup next stop.   
ham,45,0.111,0.044,"I call you later, don't have network. If urgnt, sms me.   "
ham,96,0.042,0.042,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.   
ham,114,0.035,0.044,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.   
ham,34,0.029,0.029,I'm really not up to it still tonight babe   
ham,35,0.143,0.029,"Ela kano.,il download, come wen ur free..   "
ham,53,0.057,0.075,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!   
ham,156,0.032,0.026,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.    
ham,116,0.017,0.164,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!   
spam,117,0.017,0.034,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!   
ham,88,0.034,0.034,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?   
spam,130,0.062,0.138,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML  PO Box 5249  MK17 92H. 450Ppw 16"" "
ham,29,0.103,0.034,Watching telugu movie..wat abt u?   
ham,40,0.025,0.025,i see. When we finish we have loads of loans to pay   
ham,147,0.061,0.034,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""   "
ham,47,0.064,0.043,Please don't text me anymore. I have nothing else to say.   
ham,61,0.033,0.066,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx   
ham,61,0.049,0.033,I'm still looking for a car to buy. And have not gone 4the driving test yet.   
ham,135,0.044,0.074,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune   
ham,148,0.054,0.027,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.   "
ham,35,0.0,0.029,Umma my life and vava umma love you lot dear   
ham,79,0.025,0.025,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.   
ham,34,0.059,0.088,"Aight, I'll hit you up when I get some cash   "
ham,69,0.014,0.014,How would my ip address test that considering my computer isn't a minecraft server   
ham,92,0.065,0.054,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...   
ham,25,0.12,0.08,Dont worry. I guess he's busy.   
ham,33,0.03,0.03,What is the plural of the noun research?   
ham,27,0.074,0.037,Going for dinner.msg you after.   
ham,73,0.055,0.041,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.   
spam,133,0.045,0.158,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm   
ham,120,0.125,0.033,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?   "
ham,125,0.104,0.088,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.   "
spam,126,0.056,0.016,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)    
ham,60,0.067,0.033,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!    
ham,72,0.083,0.028,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.   
spam,125,0.024,0.128,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires   
spam,132,0.045,0.189,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM   "
ham,46,0.065,0.0,here is my new address -apples&pairs&all that malarky   
spam,130,0.015,0.023,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app   
ham,39,0.026,0.051,I am going to sao mu today. Will be done only at 12    
ham,34,0.088,0.088,ÌÏ predict wat time Ì_'ll finish buying?   
ham,17,0.118,0.059,"Good stuff, will do.   "
ham,199,0.045,0.02,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.   "
ham,18,0.056,0.056,Are you there in room.   
ham,81,0.049,0.926,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx   
ham,24,0.208,0.042,K..k:)how much does it cost?   
ham,8,0.25,0.125,I'm home.   
ham,35,0.086,0.057,"Dear, will call Tmorrow.pls accomodate.   "
ham,22,0.045,0.045,First answer my question.   
spam,102,0.049,0.137,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone   
spam,135,0.059,0.119,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p   
ham,33,0.121,0.061,I only haf msn. It's yijue@hotmail.com   
ham,27,0.037,0.074,He is there. You call and meet him   
ham,38,0.026,0.053,No no. I will check all rooms befor activities   
spam,124,0.032,0.097,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again   
ham,67,0.194,0.075,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...   
ham,26,0.077,0.038,"K, text me when you're on the way   "
ham,23,0.087,0.087,"Sir, Waiting for your mail.   "
ham,133,0.083,0.038,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""   "
ham,33,0.061,0.061,I know you are. Can you pls open the back?   
ham,19,0.0,0.053,Yes see ya not on the dot   
ham,39,0.026,0.026,Whats the staff name who is taking class for us?   
spam,131,0.053,0.069,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end   "
ham,70,0.043,0.014,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.   
ham,28,0.107,0.036,K..i deleted my contact that why?   
ham,24,0.083,0.042,Sindu got job in birla soft ..   
ham,37,0.081,0.027,The wine is flowing and i'm i have nevering..   
ham,45,0.022,0.022,Yup i thk cine is better cos no need 2 go down 2 plaza mah.   
ham,22,0.273,0.091,Ok... Ur typical reply...   
ham,135,0.044,0.074,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune   
ham,305,0.052,0.016,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.   "
ham,24,0.042,0.042,Aaooooright are you at work?   
ham,23,0.174,0.043,I'm leaving my house now...   
ham,125,0.064,0.056,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?   "
spam,106,0.019,0.047,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery   
spam,120,0.025,0.017,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810   
ham,92,0.011,0.043,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life   
ham,52,0.096,0.019,New car and house for my parents.:)i have only new job in hand:)   
ham,67,0.075,0.045,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.   
spam,129,0.101,0.24,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468   
spam,126,0.048,0.159,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu   "
ham,42,0.024,0.024,I place all ur points on e cultures module already.   
spam,131,0.038,0.168,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only   
ham,62,0.048,0.016,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?   "
ham,54,0.037,0.056,Great escape. I fancy the bridge but needs her lager. See you tomo    
ham,50,0.1,0.02,Yes :)it completely in out of form:)clark also utter waste.   
ham,41,0.049,0.244,"Sir, I need AXIS BANK account no and bank address.   "
ham,74,0.162,0.054,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...    "
ham,27,0.037,0.037,What time you coming down later?    
ham,84,0.071,0.036,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...    "
ham,51,0.137,0.039,"Well, i'm gonna finish my bath now. Have a good...fine night.   "
ham,52,0.019,0.019,Let me know when you've got the money so carlos can make the call   
ham,21,0.048,0.048,U still going to the mall?   
ham,116,0.121,0.009,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth   "
ham,51,0.02,0.039,Text her. If she doesnt reply let me know so i can have her log in   
ham,102,0.049,0.167,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.   
ham,129,0.023,0.031,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend   
ham,18,0.111,0.111,Lol no. U can trust me.   
ham,53,0.038,0.019,ok. I am a gentleman and will treat you with dignity and respect.   
ham,20,0.1,0.05,"He will, you guys close?   "
ham,23,0.043,0.043,Going on nothing great.bye   
ham,121,0.058,0.05,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?   
ham,28,0.036,0.036,"Haha awesome, be there in a minute   "
spam,126,0.016,0.103,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!   
ham,43,0.023,0.07,Have you got Xmas radio times. If not i will get it now   
ham,70,0.071,0.043,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...   
spam,63,0.079,0.048,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk   
ham,148,0.054,0.034,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|   
ham,32,0.125,0.031,Hi :)finally i completed the course:)   
ham,90,0.022,0.022,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.   
ham,74,0.041,0.041,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day   
ham,22,0.0,0.045,Gud mrng dear hav a nice day   
ham,23,0.0,0.043,Did u got that persons story   
ham,50,0.04,0.02,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?    
ham,102,0.049,0.039,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx   
ham,32,0.25,0.125,"Found it, ENC  &lt;#&gt; , where you at?   "
ham,22,0.227,0.045,I sent you  &lt;#&gt;  bucks   
ham,67,0.0,0.03,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx   
ham,147,0.109,0.19,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .   
ham,22,0.045,0.045,Goodmorning sleeping ga.   
ham,19,0.053,0.053,U call me alter at 11 ok.   
ham,52,0.058,0.038,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...   
ham,125,0.104,0.088,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.   "
ham,24,0.042,0.042,"Aight yo, dats straight dogg   "
ham,72,0.056,0.111,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill   
ham,31,0.097,0.032,Both :) i shoot big loads so get ready!   
ham,60,0.067,0.033,"What's up bruv, hope you had a great break. Do have a rewarding semester.   "
ham,21,0.0,0.048,Home so we can always chat   
ham,22,0.318,0.045,K:)k:)good:)study well.   
ham,20,0.35,0.15,Yup... How Ì_ noe leh...   
ham,26,0.077,0.077,Sounds great! Are you home now?   
ham,50,0.02,0.02,Finally the match heading towards draw as your prediction.   
ham,40,0.075,0.05,Tired. I haven't slept well the past few nights.   
ham,35,0.086,0.029,Easy ah?sen got selected means its good..   
ham,25,0.0,0.04,I have to take exam with march 3   
ham,125,0.04,0.032,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.   
ham,20,0.1,0.1,Ok no prob. Take ur time.   
ham,132,0.038,0.008,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..   
ham,19,0.105,0.105,"Sorry, I'll call later   "
ham,94,0.064,0.043,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.   
spam,123,0.089,0.163,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18   "
ham,57,0.035,0.035,Would really appreciate if you call me. Just need someone to talk to.   
spam,108,0.056,0.139,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES   "
ham,26,0.038,0.038,Hey company elama po mudyadhu.   
ham,139,0.086,0.058,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .   "
ham,27,0.0,0.037,Dear good morning now only i am up   
ham,90,0.078,0.022,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.   
ham,30,0.0,0.033,Dear we are going to our rubber place   
ham,28,0.071,0.071,"Sorry battery died, yeah I'm here   "
ham,41,0.098,0.024,Yes:)here tv is always available in work place..   
spam,124,0.065,0.137,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence   
ham,40,0.15,0.05,I have printed it oh. So  &lt;#&gt;  come upstairs   
ham,51,0.0,0.02,Or ill be a little closer like at the bus stop on the same street   
ham,32,0.062,0.031,Where are you?when wil you reach here?   
ham,119,0.118,0.168,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!   "
spam,121,0.025,0.041,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597   
ham,42,0.024,0.024,Tomarrow final hearing on my laptop case so i cant.   
ham,39,0.0,0.974,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx   
ham,68,0.074,0.044,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.   "
ham,124,0.073,0.016,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...   "
ham,32,0.062,0.031,U don't remember that old commercial?   
ham,62,0.048,0.048,Too late. I said i have the website. I didn't i have or dont have the slippers   
ham,23,0.0,0.043,I asked you to call him now ok   
ham,26,0.038,0.038,Kallis wont bat in 2nd innings.   
ham,117,0.043,0.034,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.   
spam,128,0.023,0.094,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16   
ham,37,0.0,0.054,Ranjith cal drpd Deeraj and deepak 5min hold   
ham,146,0.075,0.021,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.   "
ham,23,0.087,0.043,What you doing?how are you?   
ham,143,0.021,0.014,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.   "
ham,32,0.094,0.031,"I'm back, lemme know when you're ready   "
ham,80,0.025,0.025,Don't necessarily expect it to be done before you get back though because I'm just now headin out   
ham,34,0.088,0.059,Mmm so yummy babe ... Nice jolt to the suzy   
ham,28,0.143,0.071,Where are you lover ? I need you ...   
spam,128,0.031,0.164,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW   
ham,60,0.083,0.117,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?   
ham,3,0.0,0.333,Yup   
ham,68,0.059,0.044,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.   
ham,41,0.073,0.683,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*   
spam,97,0.0,0.021,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698   
ham,21,0.048,0.095,Why you Dint come with us.   
ham,29,0.034,0.069,Same. Wana plan a trip sometme then   
ham,37,0.027,0.027,"Not sure yet, still trying to get a hold of him   "
spam,133,0.053,0.15,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT   
ham,39,0.077,0.077,The evo. I just had to download flash. Jealous?   
spam,110,0.027,0.055,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.   
ham,45,0.044,0.022,"Come to mu, we're sorting out our narcotics situation   "
ham,119,0.025,0.017,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.   "
spam,131,0.053,0.198,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com   
ham,29,0.034,0.069,"Usf I guess, might as well take 1 car   "
ham,26,0.077,0.077,No objection. My bf not coming.   
ham,8,0.375,0.125,Thanx...   
ham,30,0.0,0.033,Tell rob to mack his gf in the theater   
ham,24,0.083,0.083,"Awesome, I'll see you in a bit   "
ham,37,0.054,0.054,Just sent it. So what type of food do you like?   
ham,47,0.064,0.064,All done? All handed in? Celebrations in full swing yet?   
ham,18,0.056,0.056,You got called a tool?   
ham,118,0.11,0.025,"\Wen u miss someone  the person is definitely special for u..... But if the person is so special  why to miss them  just Keep-in-touch\"" gdeve.."""
ham,23,0.043,0.087,Ok. I asked for money how far   
ham,7,0.429,0.143,Okie...   
ham,97,0.031,0.031,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down   "
ham,46,0.022,0.043,"K, I might come by tonight then if my class lets out early   "
ham,4,0.5,0.25,Ok..   
