,label,text_len,text_punct,text_cap,text_cleaned
11,spam,111,0.072,0.153,"['six', 'chance', 'win', 'cash', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info', '']"
12,spam,131,0.061,0.305,"['urgent', '1', 'week', 'free', 'membership', 'å', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18', '']"
13,ham,160,0.025,0.019,"['ive', 'searching', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'time', '']"
14,ham,28,0.071,0.929,"['date', 'sunday', '']"
15,spam,131,0.084,0.176,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl', '']"
16,ham,23,0.261,0.043,"['oh', 'kim', 'watching', '']"
17,ham,63,0.079,0.048,"['eh', 'u', 'remember', '2', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet', '']"
18,ham,46,0.022,0.087,"['fine', 'thatåõs', 'way', 'u', 'feel', 'thatåõs', 'way', 'gota', 'b', '']"
19,spam,133,0.06,0.248,"['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', '87077', 'eg', 'england', '87077', 'trywales', 'scotland', '4txtì¼120', 'poboxox36504w45wq', '16', '']"
20,ham,34,0.029,0.029,"['seriously', 'spell', 'name', '']"
21,ham,39,0.0,0.051,"['û', 'going', 'try', '2', 'month', 'ha', 'ha', 'joking', '']"
22,ham,43,0.163,0.07,"['ì', 'pay', 'first', 'lar', 'da', 'stock', 'comin', '']"
23,ham,69,0.043,0.043,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already', '']"
24,ham,47,0.043,0.064,"['ffffffffff', 'alright', 'way', 'meet', 'sooner', '']"
25,ham,117,0.06,0.068,"['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'suck', 'mark', 'getting', 'worried', 'know', 'im', 'sick', 'turn', 'pizza', 'lol', '']"
26,ham,26,0.038,0.038,"['lol', 'always', 'convincing', '']"
27,ham,103,0.058,0.058,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love', '']"
28,ham,61,0.115,0.033,"['im', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'there', 'room', '']"
29,ham,53,0.075,0.094,"['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol', '']"
30,ham,105,0.038,0.01,"['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'u', '']"
31,ham,148,0.047,0.034,"['yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'go', 'badly', 'cheer', '']"
32,ham,24,0.042,0.042,"['k', 'tell', 'anything', '']"
33,ham,68,0.015,0.029,"['fear', 'fainting', 'housework', 'quick', 'cuppa', '']"
34,spam,131,0.015,0.099,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', 'å', '5month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged', '']"
35,ham,96,0.073,0.042,"['yup', 'ok', 'go', 'home', 'look', 'timing', 'msg', 'ì', 'xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am', '']"
36,ham,39,0.077,0.051,"['oops', 'ill', 'let', 'know', 'roommate', 'done', '']"
37,ham,21,0.0,0.095,"['see', 'letter', 'b', 'car', '']"
38,ham,24,0.25,0.083,"['anything', 'lor', 'u', 'decide', '']"
39,ham,126,0.056,0.032,"['hello', 'hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything', '']"
40,ham,66,0.045,0.061,"['pls', 'go', 'ahead', 'watt', 'wanted', 'sure', 'great', 'weekend', 'abiola', '']"
41,ham,109,0.138,0.092,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy', '']"
42,spam,140,0.036,0.05,"['07732584351', 'rodger', 'burn', 'msg', 'tried', 'call', 'reply', 'sm', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', '08000930705', 'delivery', 'tomorrow', '']"
43,ham,16,0.062,0.938,"['seeing', '']"
44,ham,58,0.172,0.052,"['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inch', '']"
45,ham,30,0.133,0.033,"['callsmessagesmissed', 'call', '']"
46,ham,38,0.053,0.026,"['didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria', '']"
47,ham,27,0.074,0.037,"['fair', 'enough', 'anything', 'going', '']"
48,ham,54,0.037,0.037,"['yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit', '']"
49,ham,119,0.059,0.059,"['u', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', 'im', 'weak', 'sucker', 'hospital', 'weak', 'sucker', '']"
50,ham,47,0.043,0.043,"['thinked', 'first', 'time', 'saw', 'class', '']"
51,ham,100,0.11,0.01,"['gram', 'usually', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt', '']"
52,ham,65,0.015,0.015,"['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'he', 'crashing', 'place', 'tonight', '']"
53,ham,237,0.068,0.03,"['wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'im', 'sorry', 'didnt', 'dont', 'give', 'im', 'sorry', 'offered', 'im', 'sorry', 'room', 'embarassing', '']"
54,spam,99,0.051,0.242,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv', '']"
55,ham,63,0.095,0.111,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt', '']"
56,spam,134,0.09,0.09,"['congrats', '1', 'year', 'special', 'cinema', 'pas', '2', 'call', '09061209465', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', '4', 'free', 'bx420ip45we', '150pm', 'dont', 'miss', '']"
57,ham,29,0.103,0.069,"['sorry', 'ill', 'call', 'later', 'meeting', '']"
58,ham,19,0.0,0.053,"['tell', 'reached', '']"
59,ham,34,0.088,0.029,"['yesgauti', 'sehwag', 'odi', 'series', '']"
60,ham,86,0.058,0.035,"['gonna', 'pick', '1', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'killing', '']"
61,ham,40,0.05,0.05,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situation', 'seeker', '']"
62,ham,20,0.0,0.15,"['part', 'checking', 'iq', '']"
63,ham,45,0.044,0.044,"['sorry', 'roommate', 'took', 'forever', 'ok', 'come', '']"
64,ham,87,0.023,0.023,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice', '']"
65,spam,126,0.024,0.048,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', 'å', '1500', 'bonus', 'prize', 'call', '09066364589', '']"
66,ham,102,0.098,0.029,"['today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply', '']"
67,spam,140,0.071,0.171,"['urgent', 'ur', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'acoentry41', 'å', '1000', 'claim', 'txt', 'dis', '87121', '186å', '150morefrmmob', 'shracomorsglsuplt10', 'ls1', '3aj', '']"
68,spam,66,0.106,0.076,"['hear', 'new', 'divorce', 'barbie', 'come', 'ken', 'stuff', '']"
69,ham,27,0.037,0.037,"['plane', 'give', 'month', 'end', '']"
70,ham,39,0.231,0.077,"['wah', 'lucky', 'man', 'save', 'money', 'hee', '']"
71,ham,25,0.04,0.04,"['finished', 'class', '']"
72,ham,36,0.028,0.972,"['hi', 'babe', 'im', 'home', 'wanna', 'something', 'xx', '']"
73,ham,37,0.162,0.027,"['kkwhere', 'youhow', 'performed', '']"
74,ham,16,0.188,0.062,"['u', 'call', '']"
75,ham,35,0.057,0.057,"['waiting', 'machan', 'call', 'free', '']"
76,ham,60,0.033,0.017,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect', '']"
77,ham,40,0.075,0.025,"['like', 'people', 'much', 'shy', 'pa', '']"
78,ham,34,0.147,0.029,"['operate', 'ltgt', '']"
79,ham,61,0.066,0.066,"['still', 'looking', 'job', 'much', 'ta', 'earn', '']"
80,ham,19,0.105,0.105,"['sorry', 'ill', 'call', 'later', '']"
81,ham,24,0.083,0.083,"['k', 'call', 'ah', '']"
82,ham,23,0.0,0.043,"['ok', 'way', 'home', 'hi', 'hi', '']"
83,ham,28,0.0,0.036,"['place', 'man', '']"
84,ham,12,0.083,0.083,"['yup', 'next', 'stop', '']"
85,ham,45,0.111,0.044,"['call', 'later', 'dont', 'network', 'urgnt', 'sm', '']"
86,ham,96,0.042,0.042,"['real', 'u', 'getting', 'yo', 'need', '2', 'ticket', 'one', 'jacket', 'im', 'done', 'already', 'used', 'multis', '']"
87,ham,114,0.035,0.044,"['yes', 'started', 'send', 'request', 'make', 'pain', 'came', 'back', 'im', 'back', 'bed', 'double', 'coin', 'factory', 'gotta', 'cash', 'nitros', '']"
88,ham,34,0.029,0.029,"['im', 'really', 'still', 'tonight', 'babe', '']"
89,ham,35,0.143,0.029,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free', '']"
90,ham,53,0.057,0.075,"['yeah', 'û', 'stand', 'close', 'tho', 'û', 'catch', 'something', '']"
91,ham,156,0.032,0.026,"['sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'mean', 'havent', 'done', 'stuff42moro', 'includes', 'time', 'sheet', 'sorry', '']"
92,ham,116,0.017,0.164,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum1', 'hurt', 'u', 'smile', 'becoz', 'someone', 'still', 'love', 'see', 'u', 'smiling', '']"
93,spam,117,0.017,0.034,"['please', 'call', 'customer', 'service', 'representative', '0800', '169', '6031', '10am9pm', 'guaranteed', 'å', '1000', 'cash', 'å', '5000', 'prize', '']"
94,ham,88,0.034,0.034,"['havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', '530', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'already', '']"
95,spam,130,0.062,0.138,"['free', 'ringtone', 'waiting', 'collected', 'simply', 'text', 'password', 'mix', '85069', 'verify', 'get', 'usher', 'britney', 'fml', 'po', 'box', '5249', 'mk17', '92h', '450ppw', '16', '']"
96,ham,29,0.103,0.034,"['watching', 'telugu', 'moviewat', 'abt', 'u', '']"
97,ham,40,0.025,0.025,"['see', 'finish', 'load', 'loan', 'pay', '']"
98,ham,147,0.061,0.034,"['hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'hairdresser', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'cause', 'prob', 'u', 'ham', '']"
99,ham,47,0.064,0.043,"['please', 'dont', 'text', 'anymore', 'nothing', 'else', 'say', '']"
100,ham,61,0.033,0.066,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'am', 'xx', '']"
101,ham,61,0.049,0.033,"['im', 'still', 'looking', 'car', 'buy', 'gone', '4the', 'driving', 'test', 'yet', '']"
102,ham,135,0.044,0.074,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', '9', 'copy', 'friend', 'callertune', '']"
103,ham,148,0.054,0.027,"['wow', 'youre', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'cuz', 'signin', 'page', 'still', 'say', 'boston', '']"
104,ham,35,0.0,0.029,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear', '']"
105,ham,79,0.025,0.025,"['thanks', 'lot', 'wish', 'birthday', 'thanks', 'making', 'birthday', 'truly', 'memorable', '']"
106,ham,34,0.059,0.088,"['aight', 'ill', 'hit', 'get', 'cash', '']"
107,ham,69,0.014,0.014,"['would', 'ip', 'address', 'test', 'considering', 'computer', 'isnt', 'minecraft', 'server', '']"
108,ham,92,0.065,0.054,"['know', 'grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'play', 'joke', '']"
109,ham,25,0.12,0.08,"['dont', 'worry', 'guess', 'he', 'busy', '']"
110,ham,33,0.03,0.03,"['plural', 'noun', 'research', '']"
111,ham,27,0.074,0.037,"['going', 'dinnermsg', '']"
112,ham,73,0.055,0.041,"['im', 'ok', 'wif', 'co', 'like', '2', 'try', 'new', 'thing', 'scared', 'u', 'dun', 'like', 'mah', 'co', 'u', 'said', 'loud', '']"
113,spam,133,0.045,0.158,"['gent', 'trying', 'contact', 'last', 'weekend', 'draw', 'show', 'å', '1000', 'prize', 'guaranteed', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hrs', '150ppm', '']"
114,ham,120,0.125,0.033,"['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happened', '']"
115,ham,125,0.104,0.088,"['entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'bos', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went', '']"
116,spam,126,0.056,0.016,"['winner', 'u', 'specially', 'selected', '2', 'receive', 'å', '1000', '4', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810910pmin', '18', '']"
117,ham,60,0.067,0.033,"['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'needed', '']"
118,ham,72,0.083,0.028,"['hmmmy', 'uncle', 'informed', 'he', 'paying', 'school', 'directly', 'pls', 'buy', 'food', '']"
119,spam,125,0.024,0.128,"['private', '2004', 'account', 'statement', '07742676969', 'show', '786', 'unredeemed', 'bonus', 'point', 'claim', 'call', '08719180248', 'identifier', 'code', '45239', 'expires', '']"
120,spam,132,0.045,0.189,"['urgent', 'mobile', 'awarded', 'å', '2000', 'bonus', 'caller', 'prize', '5903', 'final', 'try', 'contact', 'u', 'call', 'landline', '09064019788', 'box42wr29c', '150ppm', '']"
121,ham,46,0.065,0.0,"['new', 'address', 'applespairsall', 'malarky', '']"
122,spam,130,0.015,0.023,"['today', 'voda', 'number', 'ending', '7548', 'selected', 'receive', '350', 'award', 'match', 'please', 'call', '08712300220', 'quoting', 'claim', 'code', '4041', 'standard', 'rate', 'app', '']"
123,ham,39,0.026,0.051,"['going', 'sao', 'mu', 'today', 'done', '12', '']"
124,ham,34,0.088,0.088,"['ìï', 'predict', 'wat', 'time', 'ìll', 'finish', 'buying', '']"
125,ham,17,0.118,0.059,"['good', 'stuff', '']"
126,ham,199,0.045,0.02,"['knowyetunde', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'sending', 'dont', 'involve', 'anything', 'shouldnt', 'imposed', 'anything', 'first', 'place', 'apologise', '']"
127,ham,18,0.056,0.056,"['room', '']"
128,ham,81,0.049,0.926,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx', '']"
129,ham,24,0.208,0.042,"['kkhow', 'much', 'cost', '']"
130,ham,8,0.25,0.125,"['im', 'home', '']"
131,ham,35,0.086,0.057,"['dear', 'call', 'tmorrowpls', 'accomodate', '']"
132,ham,22,0.045,0.045,"['first', 'answer', 'question', '']"
133,spam,102,0.049,0.137,"['sunshine', 'quiz', 'wkly', 'q', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', 'txt', 'ansr', '82277', 'å', '150', 'sptyrone', '']"
134,spam,135,0.059,0.119,"['want', '2', 'get', 'laid', 'tonight', 'want', 'real', 'dogging', 'location', 'sent', 'direct', '2', 'ur', 'mob', 'join', 'uk', 'largest', 'dogging', 'network', 'bt', 'txting', 'gravel', '69888', 'nt', 'ec2a', '31pmsg150p', '']"
135,ham,33,0.121,0.061,"['haf', 'msn', 'yijuehotmailcom', '']"
136,ham,27,0.037,0.074,"['call', 'meet', '']"
137,ham,38,0.026,0.053,"['check', 'room', 'befor', 'activity', '']"
138,spam,124,0.032,0.097,"['youll', 'rcv', 'msg', 'chat', 'svc', 'free', 'hardcore', 'service', 'text', 'go', '69988', 'u', 'get', 'nothing', 'u', 'must', 'age', 'verify', 'yr', 'network', 'try', '']"
139,ham,67,0.194,0.075,"['got', 'c', 'lazy', 'type', 'forgot', 'ì', 'lect', 'saw', 'pouch', 'like', 'v', 'nice', '']"
140,ham,26,0.077,0.038,"['k', 'text', 'youre', 'way', '']"
141,ham,23,0.087,0.087,"['sir', 'waiting', 'mail', '']"
142,ham,133,0.083,0.038,"['swt', 'thought', 'nver', 'get', 'tired', 'little', 'thing', '4', 'lovable', 'person', 'cozsomtimes', 'little', 'thing', 'occupy', 'biggest', 'part', 'heart', 'gud', 'ni8', '']"
143,ham,33,0.061,0.061,"['know', 'pls', 'open', 'back', '']"
144,ham,19,0.0,0.053,"['yes', 'see', 'ya', 'dot', '']"
145,ham,39,0.026,0.026,"['whats', 'staff', 'name', 'taking', 'class', 'u', '']"
146,spam,131,0.053,0.069,"['freemsg', 'havent', 'replied', 'text', 'im', 'randy', 'sexy', 'female', 'live', 'local', 'luv', 'hear', 'u', 'netcollex', 'ltd', '08700621170150p', 'per', 'msg', 'reply', 'stop', 'end', '']"
147,ham,70,0.043,0.014,"['ummmawill', 'call', 'check', 'inour', 'life', 'begin', 'qatar', 'pls', 'pray', 'hard', '']"
148,ham,28,0.107,0.036,"['ki', 'deleted', 'contact', '']"
149,ham,24,0.083,0.042,"['sindu', 'got', 'job', 'birla', 'soft', '']"
150,ham,37,0.081,0.027,"['wine', 'flowing', 'im', 'nevering', '']"
151,ham,45,0.022,0.022,"['yup', 'thk', 'cine', 'better', 'co', 'need', '2', 'go', '2', 'plaza', 'mah', '']"
152,ham,22,0.273,0.091,"['ok', 'ur', 'typical', 'reply', '']"
153,ham,135,0.044,0.074,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', '9', 'copy', 'friend', 'callertune', '']"
154,ham,305,0.052,0.016,"['everywhere', 'dirt', 'floor', 'window', 'even', 'shirt', 'sometimes', 'open', 'mouth', 'come', 'flowing', 'dream', 'world', 'without', 'half', 'chore', 'time', 'joy', 'lot', 'tv', 'show', 'ill', 'see', 'guess', 'like', 'thing', 'must', 'exist', 'like', 'rain', 'hail', 'mist', 'time', 'done', 'become', 'one', '']"
155,ham,24,0.042,0.042,"['aaooooright', 'work', '']"
156,ham,23,0.174,0.043,"['im', 'leaving', 'house', '']"
157,ham,125,0.064,0.056,"['hello', 'love', 'get', 'interview', 'today', 'happy', 'good', 'boy', 'think', 'meare', 'missing', '']"
158,spam,106,0.019,0.047,"['customer', 'service', 'annoncement', 'new', 'year', 'delivery', 'waiting', 'please', 'call', '07046744435', 'arrange', 'delivery', '']"
159,spam,120,0.025,0.017,"['winner', 'u', 'specially', 'selected', '2', 'receive', 'å', '1000', 'cash', '4', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810810', '']"
160,ham,92,0.011,0.043,"['keep', 'safe', 'need', 'miss', 'already', 'envy', 'everyone', 'see', 'real', 'life', '']"
161,ham,52,0.096,0.019,"['new', 'car', 'house', 'parentsi', 'new', 'job', 'hand', '']"
162,ham,67,0.075,0.045,"['im', 'love', 'im', 'excited', 'day', 'spend', 'make', 'happy', '']"
163,spam,129,0.101,0.24,"['pls', 'stop', 'bootydelious', '32f', 'inviting', 'friend', 'reply', 'yes434', 'no434', 'see', 'wwwsmsacubootydelious', 'stop', 'send', 'stop', 'frnd', '62468', '']"
164,spam,126,0.048,0.159,"['bangbabes', 'ur', 'order', 'way', 'u', 'receive', 'service', 'msg', '2', 'download', 'ur', 'content', 'u', 'goto', 'wap', 'bangb', 'tv', 'ur', 'mobile', 'internetservice', 'menu', '']"
165,ham,42,0.024,0.024,"['place', 'ur', 'point', 'e', 'culture', 'module', 'already', '']"
166,spam,131,0.038,0.168,"['urgent', 'trying', 'contact', 'last', 'weekend', 'draw', 'show', 'å', '900', 'prize', 'guaranteed', 'call', '09061701939', 'claim', 'code', 's89', 'valid', '12hrs', '']"
167,ham,62,0.048,0.016,"['hi', 'frnd', 'best', 'way', 'avoid', 'missunderstding', 'wit', 'beloved', 'one', '']"
168,ham,54,0.037,0.056,"['great', 'escape', 'fancy', 'bridge', 'need', 'lager', 'see', 'tomo', '']"
169,ham,50,0.1,0.02,"['yes', 'completely', 'formclark', 'also', 'utter', 'waste', '']"
170,ham,41,0.049,0.244,"['sir', 'need', 'axis', 'bank', 'account', 'bank', 'address', '']"
171,ham,74,0.162,0.054,"['hmmm', 'thk', 'sure', 'got', 'time', 'hop', 'ard', 'ya', 'go', '4', 'free', 'abt', 'muz', 'call', 'u', 'discus', 'liao', '']"
172,ham,27,0.037,0.037,"['time', 'coming', 'later', '']"
173,ham,84,0.071,0.036,"['bloody', 'hell', 'cant', 'believe', 'forgot', 'surname', 'mr', 'ill', 'give', 'u', 'clue', 'spanish', 'begin', '']"
174,ham,51,0.137,0.039,"['well', 'im', 'gonna', 'finish', 'bath', 'goodfine', 'night', '']"
175,ham,52,0.019,0.019,"['let', 'know', 'youve', 'got', 'money', 'carlos', 'make', 'call', '']"
176,ham,21,0.048,0.048,"['u', 'still', 'going', 'mall', '']"
177,ham,116,0.121,0.009,"['turn', 'friend', 'staying', 'whole', 'show', 'wont', 'back', 'til', 'ltgt', 'feel', 'free', 'go', 'ahead', 'smoke', 'ltgt', 'worth', '']"
178,ham,51,0.02,0.039,"['text', 'doesnt', 'reply', 'let', 'know', 'log', '']"
179,ham,102,0.049,0.167,"['hi', 'spoke', 'maneesha', 'v', 'wed', 'like', 'know', 'satisfied', 'experience', 'reply', 'toll', 'free', 'yes', '']"
180,ham,129,0.023,0.031,"['lifted', 'hope', 'offer', 'money', 'need', 'especially', 'end', 'month', 'approach', 'hurt', 'studying', 'anyways', 'gr8', 'weekend', '']"
181,ham,18,0.111,0.111,"['lol', 'u', 'trust', '']"
182,ham,53,0.038,0.019,"['ok', 'gentleman', 'treat', 'dignity', 'respect', '']"
183,ham,20,0.1,0.05,"['guy', 'close', '']"
184,ham,23,0.043,0.043,"['going', 'nothing', 'greatbye', '']"
185,ham,121,0.058,0.05,"['hello', 'handsome', 'finding', 'job', 'lazy', 'working', 'towards', 'getting', 'back', 'net', 'mummy', 'wheres', 'boytoy', 'miss', '']"
186,ham,28,0.036,0.036,"['haha', 'awesome', 'minute', '']"
187,spam,126,0.016,0.103,"['please', 'call', 'customer', 'service', 'representative', 'freephone', '0808', '145', '4742', '9am11pm', 'guaranteed', 'å', '1000', 'cash', 'å', '5000', 'prize', '']"
188,ham,43,0.023,0.07,"['got', 'xmas', 'radio', 'time', 'get', '']"
189,ham,70,0.071,0.043,"['jus', 'reached', 'home', 'go', 'bathe', 'first', 'si', 'using', 'net', 'tell', 'u', 'finish', 'k', '']"
190,spam,63,0.079,0.048,"['unique', 'enough', 'find', '30th', 'august', 'wwwareyouuniquecouk', '']"
191,ham,148,0.054,0.034,"['im', 'sorry', 'ive', 'joined', 'league', 'people', 'dont', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'time', 'even', 'great', 'personal', 'cost', 'great', 'week', '']"
192,ham,32,0.125,0.031,"['hi', 'finally', 'completed', 'course', '']"
193,ham,90,0.022,0.022,"['stop', 'however', 'suggest', 'stay', 'someone', 'able', 'give', 'or', 'every', 'stool', '']"
194,ham,74,0.041,0.041,"['hope', 'youve', 'settled', 'new', 'school', 'year', 'wishin', 'gr8', 'day', '']"
195,ham,22,0.0,0.045,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day', '']"
196,ham,23,0.0,0.043,"['u', 'got', 'person', 'story', '']"
197,ham,50,0.04,0.02,"['hamster', 'dead', 'hey', 'tmr', 'meet', '1pm', 'orchard', 'mrt', '']"
198,ham,102,0.049,0.039,"['hi', 'kate', 'evening', 'hope', 'see', 'tomorrow', 'bit', 'bloody', 'babyjontet', 'txt', 'back', 'u', 'xxx', '']"
199,ham,32,0.25,0.125,"['found', 'enc', 'ltgt', '']"
200,ham,22,0.227,0.045,"['sent', 'ltgt', 'buck', '']"
201,ham,67,0.0,0.03,"['hello', 'darlin', 'ive', 'finished', 'college', 'txt', 'u', 'finish', 'u', 'love', 'kate', 'xxx', '']"
202,ham,147,0.109,0.19,"['account', 'refilled', 'successfully', 'inr', 'ltdecimalgt', 'keralacircle', 'prepaid', 'account', 'balance', 'r', 'ltdecimalgt', 'transaction', 'id', 'kr', 'ltgt', '']"
203,ham,22,0.045,0.045,"['goodmorning', 'sleeping', 'ga', '']"
